runner,runner_id,runs,run_threat,run_value_added,in_behind,sep_gained,mean_run_distance,mean_run_fwd,final_third_runs,delta_v,delta_v_360,shots_5s,xg_added,retain_rate,loss_rate,value_lost,counter_runs,enc_receipt,enc_escaped,block_faced,second_def,crowded_runs,surrounded_runs,team,run_value_att,att_runs,position,pos_group,minutes,matches,RunThreat90,RunValue90,RunValueAll90,AttRuns90,InBehind90,Runs90,FinalThirdRuns90,SepGained,SepVsAvg,ThreatPerRun,Encirclement,EncEscaped,BlockFaced,SecondDef,CrowdedRuns90,SurroundedRuns90,PctSurrounded,DeltaV90,DeltaV360_90,Shot5s90,xGAdded90,ValueLost90,CounterRuns90,RetainRate,LossRate,NetValue90,RunThreat90_pct,RunValue90_pct,InBehind90_pct,Runs90_pct,FinalThirdRuns90_pct,SepGained_pct,SepVsAvg_pct,ThreatPerRun_pct,DeltaV90_pct,DeltaV360_90_pct,Shot5s90_pct,xGAdded90_pct,ValueLost90_pct,CounterRuns90_pct,RetainRate_pct,NetValue90_pct,RunValueAll90_pct,AttRuns90_pct,Encirclement_pct,EncEscaped_pct,BlockFaced_pct,SecondDef_pct,CrowdedRuns90_pct,SurroundedRuns90_pct,PctSurrounded_pct
Amine Adli,33401.0,176,0.3624036556362938,6.237053430098234,13,-2.1773266461427836,5.268469677191422,1.5138019336340667,88,1.4663612230792549,0.31295010535709905,14.0,1.9748159090000001,0.8125,0.13068181818181818,1.7298619227860754,3,0.35206336930655746,-0.038078120252202675,14.700416509343059,9.47002049462171,70,60,Bayer Leverkusen,3.352534733190645,88.0,Left Attacking Midfield,MID,989,23,0.03297909909733715,0.3050840505431325,0.5675781685630344,8.00808897876643,1.1830131445904954,16.01617795753286,8.00808897876643,-2.1773266461427836,0.18909788438773312,0.002059111679751669,0.35206336930655746,-0.038078120252202675,14.700416509343059,9.47002049462171,6.370070778564207,5.460060667340748,0.3409090909090909,0.1334403539708119,0.028478776018340663,1.2740141557128413,0.17971024449949444,0.15741918407557814,0.2730030333670374,0.8125,0.13068181818181818,-0.023978830104766258,73.0,81.0,86.0,19.0,63.0,41.0,41.0,90.0,86.0,53.0,80.0,80.0,51.0,90.0,24.0,90.0,97.0,61.0,68.0,10.0,49.0,29.0,54.0,51.0,69.0
Antoine Griezmann,5487.0,660,1.051063576232301,3.3266364610134787,43,-1.4449403113896682,4.945079269034942,0.7309107227986479,358,-2.639068070156555,-1.6180852741496177,41.0,7.4161490820000004,0.8242424242424242,0.11818181818181818,6.224851898806046,6,0.4320158333988718,-0.021394913504008264,14.036804704473589,8.103286415461884,320,312,Barcelona,6.414552200788388,361.0,Left Center Forward,FWD,2419,33,0.03910530047991199,0.2386563447998987,0.12376902914064203,13.431169904919388,1.5998346424142207,24.555601488218272,13.319553534518397,-1.4449403113896682,0.9214842191408485,0.001592520570048941,0.4320158333988718,-0.021394913504008264,14.036804704473589,8.103286415461884,11.905746176105827,11.608102521703184,0.4727272727272727,-0.09818773307734187,-0.06020160176662488,1.5254237288135593,0.2759212142951633,0.23159845840948495,0.2232327408019843,0.8242424242424242,0.11818181818181818,-0.3297861914868268,81.0,80.0,95.0,36.0,81.0,97.0,97.0,86.0,5.0,14.0,90.0,92.0,80.0,83.0,31.0,5.0,73.0,81.0,92.0,68.0,12.0,8.0,85.0,85.0,92.0
Jeremie Frimpong,32712.0,408,1.558204520270589,10.584317811013987,28,-2.7310828616404894,5.934371308112325,1.9909381021934955,247,0.7849283238611978,-1.7572909537075343,25.0,3.319384507,0.8112745098039216,0.1323529411764706,4.24322607354714,4,0.21987442747902336,-0.0456557978281362,14.502620654127776,11.690269115620088,88,50,Bayer Leverkusen,5.422389526230464,247.0,Right Wing Back,DEF,2308,31,0.06076187470725867,0.21144499885647394,0.41273336351441026,9.631715771230503,1.0918544194107451,15.909878682842288,9.631715771230503,-2.7310828616404894,-0.3646583311099727,0.0038191287261534045,0.21987442747902336,-0.0456557978281362,14.502620654127776,11.690269115620088,3.431542461005199,1.9497400346620453,0.12254901960784313,0.030608123547447057,-0.06852521049986052,0.9748700173310226,0.1294387372746967,0.1654637550343339,0.1559792027729636,0.8112745098039216,0.1323529411764706,-0.13485563148688684,98.0,78.0,83.0,17.0,75.0,31.0,31.0,93.0,54.0,12.0,71.0,68.0,59.0,71.0,22.0,37.0,86.0,75.0,47.0,5.0,39.0,54.0,46.0,42.0,46.0
Ángel Fabián Di María Hernández,2995.0,462,0.6381517687211546,2.6242228743782325,13,-2.6897602400698637,5.110515900417796,0.9224537643070208,230,2.5688312044494324,2.8367860088912606,31.0,3.439582243,0.7987012987012987,0.12121212121212122,4.337967875703711,3,0.2824562861636791,-0.03787973203397378,14.53884460080437,10.628117938691574,103,95,Paris Saint-Germain,3.004956720121536,233.0,Right Wing,MID,1413,21,0.04064660947268501,0.19139851720519338,0.16714795378205302,14.840764331210192,0.8280254777070064,29.426751592356688,14.64968152866242,-2.6897602400698637,-0.323335709539347,0.001381280884677824,0.2824562861636791,-0.03787973203397378,14.53884460080437,10.628117938691574,6.560509554140127,6.050955414012738,0.20562770562770563,0.1636198219394543,0.18068700693574907,1.9745222929936306,0.2190816715286624,0.27630368635055486,0.19108280254777069,0.7987012987012987,0.12121212121212122,-0.11268386441110056,83.0,76.0,71.0,53.0,90.0,34.0,34.0,78.0,93.0,93.0,95.0,88.0,92.0,80.0,17.0,46.0,76.0,90.0,54.0,12.0,42.0,46.0,58.0,54.0,51.0
Philippe Coutinho Correia,3501.0,264,0.3260101547479012,1.1069110367176656,9,-2.1054780296869122,4.731861276818216,0.5919522527834232,118,1.0673621607200343,0.8283946844611032,15.0,1.463112668,0.875,0.045454545454545456,0.8509062082829298,1,0.3841014140364549,-0.024684310008792388,14.484921664466784,9.083709480237575,96,92,Barcelona,1.221551957637201,120.0,Center Attacking Midfield,MID,652,11,0.04500140172900476,0.16861913525666886,0.15279446825857346,16.56441717791411,1.2423312883435582,36.441717791411044,16.28834355828221,-2.1054780296869122,0.2609465008436045,0.001234886949802656,0.3841014140364549,-0.024684310008792388,14.484921664466784,9.083709480237575,13.25153374233129,12.699386503067483,0.3484848484848485,0.1473352675840538,0.11434895951150197,2.0705521472392636,0.20196340509202454,0.11745637844396271,0.13803680981595093,0.875,0.045454545454545456,0.029878889140091083,88.0,75.0,90.0,81.0,97.0,53.0,53.0,75.0,88.0,88.0,97.0,85.0,32.0,68.0,68.0,98.0,75.0,97.0,73.0,54.0,37.0,22.0,90.0,86.0,71.0
Keylor Navas Gamboa,5597.0,47,-0.04092772867063374,0.1875725718350887,0,-5.786285467675347,7.206515716353653,-3.0121374989672494,0,0.00022642026237107863,0.00015784057833203324,0.0,0.0,0.7659574468085106,0.1702127659574468,0.6836628496653285,0,0.036742139588859184,-0.01699262159850205,16.63457901067219,20.83034321293165,0,0,Paris Saint-Germain,,,Goalkeeper,GK,1223,13,-0.0030118524778062444,0.0,0.01380337813994929,0.0,0.0,3.4587080948487325,0.0,-5.786285467675347,-3.41986093714483,-0.0008708027376730583,0.036742139588859184,-0.01699262159850205,16.63457901067219,20.83034321293165,0.0,0.0,0.0,1.666216158086433e-05,1.161541459516189e-05,0.0,0.0,0.05031043047414519,0.0,0.7659574468085106,0.1702127659574468,-0.050293768312564324,46.0,70.0,3.0,2.0,4.0,3.0,3.0,7.0,39.0,31.0,6.0,6.0,5.0,19.0,8.0,83.0,64.0,4.0,5.0,85.0,100.0,98.0,3.0,4.0,4.0
Lukáš Hrádecký,8667.0,138,-0.05378978875640658,0.1387781952611118,3,-5.87909900210235,5.879426104807389,-1.255026350923946,0,0.0001504961247479194,0.00017543966622115127,0.0,0.0,0.7463768115942029,0.15217391304347827,2.2851446894875433,0,0.03631347645293079,-0.024462546508550252,13.955983901814681,20.003304924817275,0,0,Bayer Leverkusen,,,Goalkeeper,GK,3143,33,-0.001540273938299902,0.0,0.003973922231466771,0.0,0.08590518612790328,3.9516385618835512,0.0,-5.87909900210235,-3.5126744715718337,-0.00038978107794497525,0.03631347645293079,-0.024462546508550252,13.955983901814681,20.003304924817275,0.0,0.0,0.0,4.309465869332722e-06,5.023725726981742e-06,0.0,0.0,0.06543525995987239,0.0,0.7463768115942029,0.15217391304347827,-0.06543095049400305,47.0,70.0,14.0,3.0,4.0,2.0,2.0,17.0,37.0,27.0,6.0,6.0,8.0,19.0,7.0,78.0,61.0,4.0,3.0,56.0,5.0,95.0,3.0,4.0,4.0
Gianluigi Donnarumma,7036.0,216,-0.1844537513129963,-0.11010577682049871,2,-4.813848922180354,7.385266587793893,-3.3332498889732274,0,0.0008145946836322825,0.000523090636657541,0.0,0.0,0.8055555555555556,0.11574074074074074,2.178752841284395,0,0.04114496212981283,-0.03288308937804824,16.370303771258737,20.41553110699534,1,0,Paris Saint-Germain,,,Goalkeeper,GK,4237,45,-0.003918064106247266,0.0,-0.002338805738457608,0.0,0.04248288883644088,4.588151994335615,0.0,-4.813848922180354,-2.4474243916498377,-0.0008539525523749828,0.04114496212981283,-0.03288308937804824,16.370303771258737,20.41553110699534,0.02124144441822044,0.0,0.0,1.7303167695752992e-05,1.11112006842527e-05,0.0,0.0,0.04627985737918233,0.0,0.8055555555555556,0.11574074074074074,-0.046262554211486576,42.0,70.0,10.0,5.0,4.0,5.0,5.0,10.0,41.0,29.0,6.0,6.0,3.0,19.0,20.0,85.0,59.0,4.0,7.0,25.0,98.0,97.0,5.0,4.0,4.0
Marc-André ter Stegen,20055.0,213,-0.2530210282432545,1.2846841047354973,0,-3.8093786482923218,7.706938902860718,-3.635563219858978,0,0.000830430627648788,0.00046876379608642245,0.0,0.0,0.8169014084507042,0.11737089201877934,2.621575959960084,0,0.021617501483687435,-0.0015402805029481141,16.213552261384468,22.21071618842736,1,0,Barcelona,,,Goalkeeper,GK,2736,29,-0.008323060139580741,0.0,0.04225934555050978,0.0,0.0,7.006578947368421,0.0,-3.8093786482923218,-1.442954117761805,-0.0011878921513767816,0.021617501483687435,-0.0015402805029481141,16.213552261384468,22.21071618842736,0.03289473684210526,0.0,0.0,2.7316796962131187e-05,1.5419861713369157e-05,0.0,0.0,0.08623605131447644,0.0,0.8169014084507042,0.11737089201877934,-0.0862087345175143,29.0,70.0,3.0,7.0,4.0,12.0,12.0,2.0,42.0,32.0,6.0,6.0,20.0,19.0,25.0,64.0,68.0,4.0,2.0,100.0,97.0,100.0,7.0,4.0,4.0
Gerard Piqué Bernabéu,5213.0,514,-0.12678113947856046,-0.9097348663904006,2,-1.8537131864080434,5.558316382483398,-1.0090059440712185,9,-1.3351981276099842,-0.31662924750692883,4.0,0.386220271,0.9416342412451362,0.011673151750972763,0.5187124306188206,0,0.053632220018180105,-0.005673810014225168,15.106551536536248,17.26096059379537,10,8,Barcelona,-0.2648212467726627,9.0,Right Center Back,DEF,1551,18,-0.007356739234732715,-0.0153668034877754,-0.052789257237354004,0.5222437137330754,0.11605415860735009,29.825918762088975,0.5222437137330754,-1.8537131864080434,0.5127113441224733,-0.00024665591338241335,0.053632220018180105,-0.005673810014225168,15.106551536536248,17.26096059379537,0.5802707930367504,0.46421663442940037,0.01556420233463035,-0.077477647636943,-0.018373070454947515,0.23210831721470018,0.02241123429400387,0.03009936734732034,0.0,0.9416342412451362,0.011673151750972763,-0.10757701498426334,32.0,66.0,17.0,59.0,8.0,61.0,61.0,32.0,7.0,19.0,24.0,27.0,2.0,19.0,100.0,51.0,58.0,8.0,8.0,98.0,68.0,93.0,14.0,25.0,22.0
Fabián Ruiz Peña,6655.0,658,0.043721675506658245,0.937202058939435,7,-1.6521227131649812,4.387871255805083,0.0008653903643003761,111,1.372728917937119,1.4907517431058095,10.0,1.011797318,0.8571428571428571,0.0790273556231003,4.1160974860199016,3,0.33931871610403547,-0.026945999965925824,15.403296181513907,10.335576858087052,138,178,Paris Saint-Germain,-0.4764474559791011,113.0,Left Center Midfield,MID,1627,23,0.0024185315277192635,-0.026355421658339952,0.05184276908700009,6.250768285187462,0.38721573448063923,36.39827904118008,6.1401352181929925,-1.6521227131649812,0.7143018173655356,6.644631535966299e-05,0.33931871610403547,-0.026945999965925824,15.403296181513907,10.335576858087052,7.633681622618316,9.846342962507682,0.270516717325228,0.07593460517169066,0.08246321873357275,0.5531653349723417,0.0559691202335587,0.22768824446330124,0.16594960049170251,0.8571428571428571,0.0790273556231003,-0.15175363929161056,51.0,64.0,47.0,80.0,42.0,76.0,76.0,51.0,66.0,78.0,51.0,47.0,75.0,76.0,54.0,29.0,69.0,47.0,64.0,46.0,85.0,42.0,69.0,76.0,64.0
Nordi Mukiele Mulere,2935.0,225,0.02824858688768938,-3.106431100549757,4,-3.2823877013560567,5.237178778629531,-0.018266495746345156,52,0.2978369827402262,0.37930269040161074,4.0,0.517591274,0.84,0.09333333333333334,1.8031900095575337,0,0.11996433432288449,-0.04007044686672616,15.742982582095593,14.487278307803004,15,7,Paris Saint-Germain,-0.2788395026927602,52.0,Right Center Back,DEF,906,15,0.002806151015333382,-0.027699288346962937,-0.3085858709155388,5.1655629139072845,0.3973509933774834,22.350993377483444,5.1655629139072845,-3.2823877013560567,-0.91596317082554,0.00012554927505639726,0.11996433432288449,-0.04007044686672616,15.742982582095593,14.487278307803004,1.490066225165563,0.695364238410596,0.03111111111111111,0.029586455239095314,0.03767907520545802,0.3973509933774834,0.05141635172185431,0.17912483538650997,0.0,0.84,0.09333333333333334,-0.14953838014741466,54.0,63.0,51.0,29.0,36.0,20.0,20.0,54.0,51.0,59.0,39.0,44.0,64.0,19.0,42.0,31.0,29.0,36.0,29.0,8.0,93.0,76.0,31.0,31.0,32.0
Lionel Andrés Messi Cuccittini,5503.0,3222,0.79029021309349,-40.32577499228182,57,-1.6929644790126277,4.368126077777524,0.036665625513271814,1349,-6.863983102415869,-0.9424939129807501,210.0,29.570313389,0.8004345127250155,0.11080074487895716,26.980796993573396,35,0.40979841501182496,-0.025414508690744228,14.14156476770498,8.520461801320295,1381,1324,Paris Saint-Germain,-3.081103612401651,1355.0,Right Center Forward,FWD,8406,93,0.008461351317917452,-0.032988261374750014,-0.4317534795747518,14.507494646680943,0.6102783725910065,34.49678800856531,14.443254817987153,-1.6929644790126277,0.673460051517889,0.00024527939574596214,0.40979841501182496,-0.025414508690744228,14.14156476770498,8.520461801320295,14.785867237687365,14.17558886509636,0.41092489137181876,-0.0734901831093776,-0.010090941252470557,2.2483940042826553,0.3165986444218415,0.2888736294815139,0.3747323340471092,0.8004345127250155,0.11080074487895716,-0.3623638125908915,58.0,61.0,58.0,75.0,88.0,69.0,69.0,56.0,8.0,20.0,100.0,98.0,95.0,97.0,19.0,2.0,15.0,88.0,88.0,51.0,19.0,15.0,98.0,90.0,86.0
Alejandro Grimaldo García,10336.0,736,0.44750660717665963,3.6917996874270975,25,-3.1429063201171688,5.295131304957998,0.752971119334653,268,-0.3963577491631831,1.5265888795512323,29.0,3.4649666474,0.8274456521739131,0.09782608695652174,5.748817533669941,2,0.2137547445044454,-0.03243497006550281,14.421058442925604,12.03370768316789,126,92,Bayer Leverkusen,-1.9110454846993052,270.0,Left Wing Back,DEF,2927,33,0.01376002550252797,-0.058761220916616834,0.11351621860896438,8.302015715749913,0.7687051588657329,22.630679877007175,8.240519303040655,-3.1429063201171688,-0.776481789586652,0.0006080252814900267,0.2137547445044454,-0.03243497006550281,14.421058442925604,12.03370768316789,3.874274000683293,2.828834984625897,0.125,-0.012187289861525959,0.04693986988712364,0.8916979842842501,0.10654150948616331,0.17676582782039452,0.061496412709258624,0.8274456521739131,0.09782608695652174,-0.18895311768192047,63.0,59.0,66.0,31.0,68.0,22.0,22.0,66.0,31.0,64.0,69.0,66.0,63.0,47.0,34.0,20.0,71.0,68.0,46.0,32.0,32.0,56.0,47.0,46.0,47.0
